User ID,Studio Profile ID,Classification,Completeness Score,Reasons,Recommended Action,Metadata
qhkwcg0f1u9bifsuzxo1rhhg,ekymjqzq05md4ntw6kcqsd8y,EXCEPTION,65,"Missing key fields: city, services; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""services""],""geodata_issue"":""coords_no_city""}"
i9vicpdq9rv1est8ce72qqw7,tfe94qlxgyyur9jyl8iqwn9w,EXCEPTION,55,"Missing key fields: coordinates, website, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""services""],""geodata_issue"":""address_no_coords""}"
nkkxrnz2az8zyr2seru1mkz0,cr3ew116zcs356a7g5l4oyr2,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
xnbukdofbyyiwbfj5px7ityg,depa4bjsttpkdipxzw2jhqrl,JUNK,75,"Potential test account (name/email contains ""test"")",Manual review - possible test account,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true}"
lihrccq37mxsllatqu0ht6z1,sf02jh6v329224n3tjdh2fa9,NEEDS_UPDATE,80,"Missing key fields: phone, services",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""services""]}"
q3f6o83skrkdjwb1bxsihbuw,cmfpsfqc9002fzjd0m2gdkkrq,NEEDS_UPDATE,25,"Missing key fields: city, coordinates, about/description, phone, website, social_links, services",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""coordinates"",""about/description"",""phone"",""website"",""social_links"",""services""]}"
it7zm31ac4k2pc3eo2msuee6,tcqztlrhwwiy6e18rdb7p7tz,NEEDS_UPDATE,80,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
jcldamnhlkfm87a0zp8dyt4n,wz1wb82rrz241275c74lz558,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
x31p5vwohd9e8uv7pkxjkhlc,c0fzxp3y25e63ei7u8d7s2ud,NEEDS_UPDATE,75,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
ib5ude1krgglwnkd1djgsopv,rm1dn0f3t76y0h90g6hnnr2b,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
sbc583dlq3rluld7zwuysahn,rqp3i3n8xipsp1i76h5ra4bx,NEEDS_UPDATE,70,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
supnximfjlm6oi73j78ce9ak,cmfpsfqcq002hzjd0t5rfo1sk,EXCEPTION,60,"Missing key fields: city, services; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""services""],""geodata_issue"":""coords_no_city""}"
